tv_show_name,user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
Time Bandits,5449324,352973,1,0,0
Narcos: Mexico,5449324,353232,0,0,0
Haunted (2018),5449324,353309,0,0,0
Larva Island,5449324,353351,0,0,7
Wayne,5449324,353367,0,0,0
High Seas,5449324,353568,1,0,3
Deadly Class,5449324,353717,1,0,1
The Umbrella Academy,5449324,353764,1,1,10
Always a Witch,5449324,354019,1,0,10
Les Misérables (2018),5449324,354256,0,0,0
AJ and the Queen,5449324,354305,1,0,2
The A List,5449324,354323,1,0,14
Now Apocalypse,5449324,354336,0,0,0
Tidelands,5449324,354509,0,0,0
The Passage,5449324,354539,0,0,0
The Hook Up Plan,5449324,354556,1,0,20
,5449324,354570,0,0,0
Daybreak (2019),5449324,354735,1,0,1
The Act,5449324,354765,1,0,8
Don't Watch This,5449324,354780,1,0,5
,5449324,354830,0,0,0
Hero Mask,5449324,355025,0,0,0
Our Planet (2019),5449324,355229,0,0,0
The Dead Girls Detective Agency,5449324,355312,0,0,8
Vai Anitta,5449324,355486,0,0,0
Doom Patrol,5449324,355622,0,0,0
Sweet Tooth,5449324,355837,1,0,0
Fam,5449324,356093,0,0,1
For All Mankind,5449324,356202,0,0,0
Sex Education,5449324,356317,1,1,24
Big Head,5449324,356399,0,0,2
Criminal: United Kingdom,5449324,356406,0,0,0
Merlí: Dare to Know,5449324,356614,1,0,0
Russian Doll,5449324,356640,1,0,17
Roger and his humans,5449324,356728,0,0,3
"Love, Death & Robots",5449324,357888,1,0,2
What We Do in the Shadows,5449324,358211,1,0,2
Pretty Little Liars: The Perfectionists,5449324,358590,1,0,2
Nailed It! Mexico,5449324,358953,0,0,0
Quicksand,5449324,358977,1,0,5
Osmosis (2019),5449324,359238,1,0,8
Good Omens,5449324,359569,1,0,6
The Order,5449324,359675,1,0,8
High School Musical: The Musical: The Series,5449324,359728,0,0,0
Riccanza World,5449324,360188,1,0,1
Euphoria (US),5449324,360261,1,0,28
Ares,5449324,360354,1,0,2
When They See Us,5449324,360388,0,0,0
Despicable Me,5449324,360486,0,0,0
No Good Nick,5449324,360627,1,0,9
Spinning Out,5449324,360858,0,0,0
Chernobyl,5449324,360893,1,0,1
Tuca & Bertie,5449324,361005,1,0,0
BEASTARS,5449324,361013,0,0,0
How to Sell Drugs Online (Fast),5449324,361034,1,0,7
Huge in France,5449324,361276,1,0,8
The Politician,5449324,361411,1,0,9
Chambers (2019),5449324,361542,0,0,0
The Dark Crystal: Age of Resistance,5449324,361549,0,0,0
The Society,5449324,361558,1,0,3
The Morning Show,5449324,361563,1,0,1
Little Voice,5449324,361564,0,0,0
See,5449324,361565,1,0,18
Dickinson,5449324,361566,1,0,12
Mythomaniac,5449324,361569,1,0,1
Locke & Key,5449324,361594,1,0,1
Swamp Thing (2019),5449324,361735,0,0,0
Curon,5449324,361739,0,0,2
Dead to Me,5449324,361857,1,1,24
The Eddy,5449324,361986,0,0,0
Home Before Dark,5449324,362004,1,0,1
Monsters at Work,5449324,362280,1,0,10
Four Weddings and a Funeral,5449324,362415,0,0,0
It's Bruno!,5449324,362578,1,0,8
The Witcher,5449324,362696,1,0,1
Flinch,5449324,362788,1,0,10
Mythic Quest,5449324,362829,1,0,4
Florida Girls,5449324,363682,1,0,1
Mouche,5449324,364009,1,0,6
9-1-1: Lone Star,5449324,364080,0,0,0
Trinkets,5449324,364082,1,0,14
Everything's Gonna Be Okay,5449324,364109,1,0,0
Emily in Paris,5449324,364439,1,0,96
Family Business (2019),5449324,364468,1,0,14
Ratched,5449324,364870,1,0,1
Carnival Row,5449324,365026,0,0,0
Merry Happy Whatever,5449324,365065,0,0,0
Why Women Kill,5449324,365069,1,0,20
The Emperor's New Groove (TV),5449324,365260,0,0,0
Marianne,5449324,365442,1,0,2
Family Reunion,5449324,365488,0,0,0
KAOS,5449324,365700,1,0,8
Swagger,5449324,365914,1,0,0
Greg Guillotin: Worst Trainee Ever,5449324,365972,0,0,18
Mrs. Fletcher,5449324,366195,0,0,0
Shantaram,5449324,366526,1,0,0
Lisey's Story,5449324,366527,1,0,0
Bridgerton,5449324,366668,0,0,0
Foundation (2021),5449324,366972,1,0,0
Snoopy in Space,5449324,367015,1,0,4
Unbelievable,5449324,367030,1,0,1
What If…?,5449324,367147,1,0,0
Dollface,5449324,367553,1,0,24
Diary of a Future President,5449324,368111,1,0,1
